date,T_seaF,pHT_sfint
9/30/16 22:00,23.1597,8.046068773
9/30/16 23:00,23.1665,8.04475722
10/1/16 0:00,23.1675,8.043918501
10/1/16 1:00,23.1541,8.044233724
10/1/16 2:00,23.1555,8.043755772
10/1/16 3:00,23.1413,8.042530701
10/1/16 4:00,23.1288,8.0406803
10/1/16 5:00,23.1256,8.041524136
10/1/16 6:00,23.1285,8.041742814
10/1/16 7:00,23.1388,8.045921396
10/1/16 8:00,23.1724,8.050938868
10/1/16 9:00,23.1772,8.049119
10/1/16 10:00,23.0623,8.058371003
10/1/16 11:00,23.0574,8.055386959
10/1/16 12:00,23.0599,8.054075406
10/1/16 13:00,23.0539,8.054395746
10/1/16 14:00,23.0565,8.053394299
10/1/16 15:00,23.0501,8.049454522
10/1/16 16:00,23.0493,8.051314986
10/1/16 17:00,23.037,8.04851397
10/1/16 18:00,23.0251,8.048758063
10/1/16 19:00,23.0177,8.046526427
10/1/16 20:00,23.0193,8.046394231
10/1/16 21:00,23.0124,8.045469031
10/1/16 22:00,22.9977,8.045702889
10/1/16 23:00,22.9963,8.044192957
10/2/16 0:00,22.9865,8.043969333
10/2/16 1:00,22.975,8.043537266
10/2/16 2:00,22.9669,8.042266309
10/2/16 3:00,22.9544,8.043196627
10/2/16 4:00,22.9369,8.041259744
10/2/16 5:00,22.9167,8.041793645
10/2/16 6:00,22.9101,8.041178551
10/2/16 7:00,22.9146,8.051635327
10/2/16 8:00,22.9223,8.05745092
10/2/16 9:00,22.9561,8.058513433
10/2/16 10:00,22.9941,8.060379015
10/2/16 11:00,23.0802,8.058172795
10/2/16 12:00,23.043,8.060775603
10/2/16 13:00,23.0994,8.057572881
10/2/16 14:00,23.197,8.052967178
10/2/16 15:00,23.2393,8.054929476
10/2/16 16:00,23.2328,8.053617923
10/2/16 17:00,23.0837,8.052814684
10/2/16 18:00,23.022,8.049698444
10/2/16 19:00,22.9975,8.046887364
10/2/16 20:00,22.9609,8.046999091
10/2/16 21:00,22.9116,8.046114658
10/2/16 22:00,22.8929,8.045001313
10/2/16 23:00,22.8581,8.044680973
10/3/16 0:00,22.8438,8.04468609
10/3/16 1:00,22.8231,8.043720293
10/3/16 2:00,22.7952,8.042769677
10/3/16 3:00,22.7887,8.041224265
10/3/16 4:00,22.782,8.041188615
10/3/16 5:00,22.7623,8.041941022
10/3/16 6:00,22.7544,8.044553894
10/3/16 7:00,22.7421,8.052509696
10/3/16 8:00,22.7452,8.058040599
10/3/16 9:00,22.7655,8.062325961
10/3/16 10:00,22.8146,8.063291929
10/3/16 11:00,22.7827,8.064476404
10/3/16 12:00,22.7708,8.064100115
10/3/16 13:00,22.781,8.062753082
10/3/16 14:00,22.7595,8.06238191
10/3/16 15:00,22.7262,8.062107455
10/3/16 16:00,22.6161,8.060821317
10/3/16 17:00,22.6393,8.05773561
10/3/16 18:00,22.6227,8.051330338
10/3/16 19:00,22.7626,8.045575811
10/3/16 20:00,22.7118,8.044909885
10/3/16 21:00,22.62,8.044848819
10/3/16 22:00,22.6276,8.045860501
10/3/16 23:00,22.5879,8.043501615
10/4/16 0:00,22.5956,8.041788528
10/4/16 1:00,22.589,8.043506733
10/4/16 2:00,22.5426,8.04429462
10/4/16 3:00,22.5409,8.045082678
10/4/16 4:00,22.5107,8.046490776
10/4/16 5:00,22.4634,8.04411671
10/4/16 6:00,22.4596,8.046790648
10/4/16 7:00,22.4135,8.05695267
10/4/16 8:00,22.4267,8.060424729
10/4/16 9:00,22.4602,8.060983875
10/4/16 10:00,22.5062,8.06177705
